"","ProductTypeAccessories","ProductTypeDisplay","ProductTypeExtendedWarranty","ProductTypeGameConsole","ProductTypeLaptop","ProductTypeNetbook","ProductTypePC","ProductTypePrinter","ProductTypePrinterSupplies","ProductTypeSmartphone","ProductTypeSoftware","ProductTypeTablet","ProductNum","Price","x4StarReviews","x2StarReviews","PositiveServiceReview","NegativeServiceReview","Recommendproduct","ShippingWeight","ProductDepth","ProductWidth","ProductHeight","ProfitMargin","Volume"
"1",0,0,0,0,0,0,1,0,0,0,0,0,101,2.06655092428793,3,0,2,0,0.9,1.06077906717773,0.272388192634089,-0.175944083995649,1.54327231916631,-0.0386631864853129,12
"2",0,0,0,0,0,0,1,0,0,0,0,0,102,5.89778198538418,1,0,1,0,0.9,2.65209151075302,0.589013790840351,3.51169130450365,1.84956427043705,0.820518735410528,8
"3",0,0,0,0,0,0,1,0,0,0,0,0,103,0.446878917890539,0,0,1,0,0.9,0.50842268180449,-0.112372027970988,0.0705830728956692,0.572138122957202,-0.640090531812402,12
"4",0,0,0,0,1,0,0,0,0,0,0,0,104,0.479242909436552,19,3,7,8,0.8,-0.260930854965379,0.0164539387494619,0.305370841363591,-0.719804230744006,-0.640090531812402,196
"5",0,0,0,0,1,0,0,0,0,0,0,0,105,2.45229789904791,31,7,7,20,0.7,-0.175447128657616,-0.0436648457200814,-1.10335576944394,0.383427442079498,-0.554172339622818,232
"6",1,0,0,0,0,0,0,0,0,0,0,0,106,-0.391757798440094,30,9,12,5,0.3,-0.530533376397556,-0.246923593212347,-0.560409054861871,-0.763352849408092,-0.897845108381154,332
"7",1,0,0,0,0,0,0,0,0,0,0,0,107,0.390897163633058,3,0,3,0,0.9,-0.155720114894286,-0.221158399868257,0.364067783480572,0.760848803834907,-0.897845108381154,44
"8",1,0,0,0,0,0,0,0,0,0,0,0,108,-0.535849709845592,19,5,5,3,0.7,0.15333643406455,-0.186804808742804,-0.164204695572253,-0.589158374751749,-0.897845108381154,132
"9",1,0,0,0,0,0,0,0,0,0,0,0,109,-0.374765966663889,9,0,2,1,0.8,-0.517382033888669,-0.109509228710534,0.231999663717366,-0.226253219217702,-0.897845108381154,64
"10",1,0,0,0,0,0,0,0,0,0,0,0,110,-0.678086360589218,1,0,2,0,0.9,-0.586426582060324,-0.106646429450079,0.774946378299435,-0.82141767429354,-0.897845108381154,40
"11",1,0,0,0,0,0,0,0,0,0,0,0,111,-0.708830680128833,2,4,2,1,0.5,-0.569987403924216,-0.20398160430553,-0.120181988984518,-0.676255612079921,-0.897845108381154,84
"12",1,0,0,0,0,0,0,0,0,0,0,0,112,-0.683946628394183,25,3,9,2,0.2,-0.491079348870896,0.196810292158092,-0.883242236505264,0.223749173644517,-0.897845108381154,300
"13",1,0,0,0,0,0,0,0,0,0,0,0,113,-0.573514446139815,8,0,2,0,0.8,-0.563411732669773,0.0336307343121886,-0.707151410154323,1.26891602158257,-0.897845108381154,40
"14",1,0,0,0,0,0,0,0,0,0,0,0,114,-0.666041890578008,62,8,44,3,0.9,-0.612729267078098,-0.249786392472801,-0.633780232508097,0.296330204751326,-0.897845108381154,1252
"15",1,0,0,0,0,0,0,0,0,0,0,0,115,-0.672226092784252,118,7,57,3,0.9,-0.596290088941989,-0.364298362890979,0.833643320416416,0.572138122957202,-0.897845108381154,1396
"16",1,0,0,0,0,0,0,0,0,0,0,0,116,-0.71751801179951,6,2,0,0,0.8,-0.635086549343205,-0.0837440353664436,0.0999315439541593,-0.850450086736263,-0.897845108381154,32
"17",1,0,0,0,0,0,0,0,0,0,0,0,117,-0.71751801179951,5,2,0,0,0.8,-0.635086549343205,-0.0837440353664436,0.0999315439541593,-0.850450086736263,-0.897845108381154,44
"18",1,0,0,0,0,0,0,0,0,0,0,0,118,-0.21279876602415,100,20,310,6,0.8,-0.543684718906443,-0.0178996523759914,0.0559088373664238,-0.850450086736263,-0.897845108381154,680
"19",1,0,0,0,0,0,0,0,0,0,0,0,119,-0.698700367943366,12,0,3,1,0.8,-0.609441431450876,-0.0951952324082614,-0.0321365758090469,-0.835933880514902,-0.897845108381154,60
"20",0,0,0,0,0,0,0,0,0,0,1,0,120,1.24493548831543,2,2,4,3,0.7,-0.619304938332541,-0.246923593212347,-0.941939178622245,0.223749173644517,-0.0386631864853129,80
"21",0,0,0,0,0,0,0,0,0,0,1,0,121,-0.336217772911631,15,2,5,4,0.7,-0.425322636326463,-0.201118805045076,-0.340295521923195,-0.705288024522644,-0.0386631864853129,136
"22",0,0,0,0,0,0,0,0,0,0,1,0,122,-0.36004167569664,187,42,55,38,0.8,-0.625880609586984,-0.195393206524167,-0.340295521923195,-0.734320436965368,0.390927774462608,1576
"23",0,0,0,0,0,0,0,0,0,0,1,0,123,-0.560292032851226,217,370,144,112,0.3,-0.599577924569211,-0.264100388775074,-0.941939178622245,0.180200554980431,-0.0386631864853129,2052
"24",0,0,0,0,0,0,0,0,0,0,1,0,124,-0.585293878913615,18,1,4,2,0.8,-0.622592773959763,-0.183942009482349,-0.120181988984518,-0.763352849408092,0.390927774462608,116
"25",0,0,0,0,0,0,0,0,0,0,1,0,125,-0.633913487687471,31,3,7,0,0.9,-0.622592773959763,-0.412965950318705,-1.14737847603168,-0.908514911621711,1.25010969635845,308
"26",0,1,0,0,0,0,0,0,0,0,0,0,126,-0.198074475056901,114,22,42,12,0.8,0.265122845390087,-0.169628013180077,2.12497604698999,1.63182117711662,-0.640090531812402,1224
"27",0,0,0,0,0,0,0,1,0,0,0,0,127,0.439075043677897,0,0,1,1,0.3,3.50692877383065,0.0994751173026407,1.1858249731183,0.93504327849125,-0.296417763054065,32
"28",0,0,0,0,0,0,0,1,0,0,0,0,128,0.0463193064174977,8,1,5,1,0.8,3.11238849856405,0.0822983217399142,2.30106687334093,2.83666629348966,-0.296417763054065,88
