"","salary","age","elevel","car","zipcode","credit","brand"
"1",0.926372687786489,45,0,14,4,1.32814307646498,"0"
"2",0.583618403288324,63,1,11,6,-1.40600906822845,"1"
"3",-0.181641106469752,23,0,15,2,-1.37992200165398,"0"
"4",-0.561644422952121,51,3,6,5,-1.43436976564546,"1"
"5",-0.901488549990763,20,3,14,4,0.714650556225464,"0"
"6",1.21821874549629,56,3,14,3,-0.779779067512957,"1"
"7",1.36794682587594,24,4,8,5,-1.16158375100783,"1"
"8",0.503708783964936,62,3,3,0,0.761839603768738,"1"
"9",-0.333367220340023,29,4,17,0,0.186780764831088,"0"
"10",-1.24806703491783,41,1,5,4,1.6806050490744,"1"
"11",-0.561264568249855,48,4,16,5,0.346282736996921,"1"
"12",1.17014940904533,52,1,6,0,-0.667601453042733,"0"
"13",-0.712752527982756,52,3,20,4,-0.147593036469266,"1"
"14",-0.0635411579842855,33,4,13,3,1.2084541680876,"0"
"15",-0.553715096546733,62,2,6,3,0.0892514257216005,"0"
"16",1.25793035094958,23,1,11,4,1.39624984597116,"1"
"17",0.752154883896544,24,2,7,7,-0.349793527712671,"1"
"18",0.94543951270533,57,1,6,2,-1.60601031209485,"0"
"19",0.970153849692597,50,2,2,8,1.14442163860023,"0"
"20",0.129139079278001,77,0,18,2,-0.372449934792741,"1"
"21",0.272357950084389,44,0,2,8,-1.09741716333446,"0"
"22",0.0666385333625665,80,3,7,5,-0.0413834435891592,"1"
"23",-1.68981608630765,64,2,11,2,0.326828525113109,"1"
"24",-1.33349492187952,55,0,15,6,-0.437793729606153,"1"
"25",-1.26404564448281,32,3,9,6,-0.555251135394912,"1"
"26",-0.651387878409219,58,1,4,4,1.51877381489381,"1"
"27",-1.37969281841359,30,4,20,1,-0.495494971690079,"1"
"28",-1.05536688295433,48,3,1,5,0.766264164351626,"1"
"29",0.200118845069773,43,0,2,0,-1.55978284824333,"0"
"30",0.605622892577609,75,0,16,2,-0.276655361691288,"1"
"31",1.68710244531458,62,2,9,1,0.883671502505462,"1"
"32",-0.175877224801807,70,3,8,0,-1.16205193855525,"0"
"33",0.34115862202576,21,1,1,2,-1.18650130934656,"1"
"34",0.170881273082544,57,3,16,6,0.125162137995486,"0"
"35",1.07607370805856,42,3,14,1,1.15936948719224,"1"
"36",-1.22749359760791,44,2,10,3,-1.13569244204073,"1"
"37",-1.24170894059951,52,2,2,3,-0.269753844942092,"1"
"38",-0.932818402071215,42,4,8,2,1.47130272853444,"1"
"39",0.439743804689606,26,0,18,2,-1.55783153496257,"0"
"40",1.01810788701591,45,0,17,3,-1.71595116199914,"0"
"41",0.622745889604176,26,0,9,0,-0.384700415722007,"1"
"42",1.60044630232388,51,1,5,3,1.2878507037703,"1"
"43",-1.00317807031716,37,4,11,4,-1.53434017666004,"1"
"44",0.146095064661684,28,2,17,0,-1.71595116199914,"0"
"45",0.0732700816689278,59,2,5,6,-0.292428664466524,"1"
"46",1.25526691776635,68,2,4,6,1.1595469647827,"1"
"47",-0.265219749431892,71,1,7,5,-0.498362102682073,"0"
"48",-0.261361311138901,72,3,18,3,0.323453949716267,"1"
"49",0.347768588802522,69,2,5,5,-0.0111748794675715,"1"
"50",-0.217007349732122,41,0,4,3,1.07857293499256,"0"
"51",-1.27787193339622,35,4,12,1,-1.60764439260141,"1"
"52",0.0716372774293884,43,1,12,4,-1.2442188626649,"0"
"53",1.08520547745727,57,0,15,7,0.511307702172342,"0"
"54",0.667071159872298,52,0,16,4,0.947296896397717,"0"
"55",-0.102237234325595,63,0,7,7,0.00592262286454888,"1"
"56",0.0937247631577859,36,4,8,7,-0.372789080627619,"0"
"57",-0.136872279805258,51,2,3,1,0.294855821980182,"0"
"58",0.851479102891262,42,0,5,6,0.0104907112643786,"0"
"59",-1.27570099125407,32,2,6,2,-0.925201238294068,"1"
"60",0.454121607498446,33,0,8,2,0.188478247997915,"0"
"61",-1.42868885867623,75,1,18,4,0.404944842582068,"0"
"62",1.40540121530623,24,0,17,5,-0.918621292334211,"1"
"63",-0.0447012179474305,62,4,2,8,-0.592704332858482,"1"
"64",-1.41705932838781,47,4,10,2,-0.494989797076779,"1"
"65",-0.901236309217872,72,1,18,6,0.0742437244618787,"0"
"66",-0.561156133983794,31,0,18,6,-0.825778879949208,"0"
"67",-0.488948714353155,79,1,20,6,0.961268068699198,"0"
"68",1.60527889812567,22,1,16,3,0.991391701573331,"1"
"69",-0.14377397708074,42,2,5,2,-1.28482600441829,"0"
"70",1.24858203174731,65,4,11,1,-0.0752209967149632,"1"
"71",0.181312935537829,44,4,9,5,1.01286391722153,"0"
"72",1.72699801442131,46,4,1,8,0.44061600989825,"1"
"73",0.653214902519507,61,2,10,3,-1.24110716872671,"0"
"74",1.24778382619091,63,1,8,1,1.2078238188778,"1"
"75",0.680631248921758,64,4,11,6,0.0571622745693771,"1"
"76",1.28052255501628,69,0,7,8,1.13503701603712,"1"
"77",1.47116689425956,75,2,15,4,0.620478983246467,"1"
"78",0.00769922780036279,64,2,14,5,-1.46465399673909,"1"
"79",-1.11147542655285,64,0,13,0,1.47595890564357,"0"
"80",1.5614468960978,54,1,13,2,-1.10608055405514,"1"
"81",1.3920663814335,57,4,12,8,1.14302402134107,"1"
"82",-1.10024741628848,30,0,6,2,-0.40520052978395,"1"
"83",0.0278191040313111,75,3,7,1,-1.41698830715694,"1"
"84",1.66835430652695,30,1,5,2,-0.807184365387201,"1"
"85",-0.475904494898864,73,4,11,1,0.122234257713016,"0"
"86",1.57557694181194,31,4,7,7,-0.936949535418497,"1"
"87",0.187653260341312,73,0,12,6,-0.0782471370723794,"1"
"88",0.315943904802695,52,4,19,5,-0.691592658697198,"0"
"89",-0.993617087042003,21,4,2,3,0.778257950174915,"1"
"90",-1.13258174910814,53,1,3,6,-0.876062387473652,"1"
"91",-0.745908141298751,66,2,18,6,-0.720126471311305,"0"
"92",0.429726595690498,22,0,6,1,0.133299276650517,"1"
"93",-1.24670697428879,59,0,9,0,1.70309309216272,"1"
"94",0.521153630543425,75,3,9,3,0.0235956413111452,"1"
"95",-0.896718210732793,30,0,15,5,-1.10749696210317,"0"
"96",-1.00890996431281,29,2,7,8,1.1376864260896,"0"
"97",-1.32877941745689,58,4,16,1,1.01674144426835,"1"
"98",1.50500274670766,75,2,18,3,0.53377328492955,"1"
"99",-0.669328008218234,36,4,12,7,0.282942922272203,"0"
"100",-0.172672642500075,76,3,10,7,0.80332285606747,"1"
"101",-1.53549340277797,35,1,8,5,0.117372811151316,"1"
"102",0.828424084806316,26,4,19,7,1.06929823961859,"1"
"103",-0.0430840359150238,73,3,13,2,0.0254893209622021,"1"
"104",1.21415070313671,29,0,15,0,0.151631433334732,"1"
"105",-0.981179939423947,41,2,14,3,-1.46644892386134,"1"
"106",0.295996023198869,57,1,14,6,1.60811361181136,"0"
"107",-1.41806563903198,24,1,1,7,1.66735855524148,"1"
"108",-0.401276364488245,61,2,16,6,0.683285655889941,"0"
"109",-1.53180942117088,46,0,16,2,0.307593857714936,"1"
